time,expected_voltage,actual_voltage
35.747000,0.472000,0.472976
35.748000,0.472000,0.525164
35.749000,0.472000,0.523289
35.750000,0.522000,0.523914
35.751000,0.522000,0.522039
35.752000,0.522000,0.522039
35.753000,0.522000,0.522977
35.754000,0.522000,0.523289
35.755000,0.522000,0.522039
35.756000,0.522000,0.522039
35.757000,0.522000,0.522039
35.758000,0.522000,0.521102
35.759000,0.522000,0.522664
35.760000,0.522000,0.522352
35.761000,0.522000,0.522039
35.762000,0.522000,0.522352
35.763000,0.522000,0.521102
35.764000,0.522000,0.524852
35.765000,0.522000,0.524852
35.766000,0.522000,0.521414
35.767000,0.522000,0.523602
35.768000,0.522000,0.522664
35.769000,0.522000,0.524539
35.770000,0.522000,0.521102
35.771000,0.522000,0.523914
35.772000,0.522000,0.520477
35.773000,0.522000,0.524852
35.774000,0.522000,0.522352
35.775000,0.522000,0.523602
35.776000,0.522000,0.523289
35.777000,0.522000,0.520477
35.778000,0.522000,0.518914
35.779000,0.522000,0.522039
35.780000,0.522000,0.521414
35.781000,0.522000,0.522977
35.782000,0.522000,0.521102
35.783000,0.522000,0.522977
35.784000,0.522000,0.522039
35.785000,0.522000,0.522039
35.786000,0.522000,0.523914
35.787000,0.522000,0.522352
35.788000,0.522000,0.523914
35.789000,0.522000,0.518602
35.790000,0.522000,0.522039
35.791000,0.522000,0.521102
35.792000,0.522000,0.522664
35.793000,0.522000,0.521102
35.794000,0.522000,0.524227
35.795000,0.522000,0.523289
35.796000,0.522000,0.521414
35.797000,0.522000,0.523289
35.798000,0.522000,0.475789
35.799000,0.522000,0.476101
35.800000,0.476000,0.474851
35.801000,0.476000,0.476101
35.802000,0.476000,0.475476
35.803000,0.476000,0.475476
35.804000,0.476000,0.477976
35.805000,0.476000,0.475789
35.806000,0.476000,0.474851
35.807000,0.476000,0.476101
35.808000,0.476000,0.477664
35.809000,0.476000,0.475476
35.810000,0.476000,0.474539
35.811000,0.476000,0.478289
35.812000,0.476000,0.476726
35.813000,0.476000,0.475163
35.814000,0.476000,0.476726
35.815000,0.476000,0.474851
35.816000,0.476000,0.476101
35.817000,0.476000,0.477351
35.818000,0.476000,0.476101
35.819000,0.476000,0.474851
35.820000,0.476000,0.475476
35.821000,0.476000,0.476414
35.822000,0.476000,0.476414
35.823000,0.476000,0.476726
35.824000,0.476000,0.476101
35.825000,0.476000,0.477351
35.826000,0.476000,0.476101
35.827000,0.476000,0.477039
35.828000,0.476000,0.478289
35.829000,0.476000,0.474226
35.830000,0.476000,0.475476
35.831000,0.476000,0.475476
35.832000,0.476000,0.475476
35.833000,0.476000,0.474851
35.834000,0.476000,0.475163
35.835000,0.476000,0.475789
35.836000,0.476000,0.475789
35.837000,0.476000,0.472976
35.838000,0.476000,0.477039
35.839000,0.476000,0.477039
35.840000,0.476000,0.475476
35.841000,0.476000,0.475476
35.842000,0.476000,0.476726
35.843000,0.476000,0.473288
35.844000,0.476000,0.476726
35.845000,0.476000,0.475476
35.846000,0.476000,0.476101
35.847000,0.476000,0.474539
35.848000,0.476000,0.472976
35.849000,0.476000,0.477039
35.850000,0.476000,0.475476
35.851000,0.476000,0.473601
35.852000,0.476000,0.473601
35.853000,0.476000,0.475476
35.854000,0.476000,0.474539
35.855000,0.476000,0.475476
35.856000,0.476000,0.476726
35.857000,0.476000,0.475789
35.858000,0.476000,0.477351
35.859000,0.476000,0.476414
35.860000,0.476000,0.475163
35.861000,0.476000,0.476414
35.862000,0.476000,0.475163
35.863000,0.476000,0.474851
35.864000,0.476000,0.477664
35.865000,0.476000,0.475789
35.866000,0.476000,0.476101
35.867000,0.476000,0.475163
35.868000,0.476000,0.475163
35.869000,0.476000,0.475789
35.870000,0.476000,0.475163
35.871000,0.476000,0.476726
35.872000,0.476000,0.477976
35.873000,0.476000,0.475789
35.874000,0.476000,0.475789
35.875000,0.476000,0.477976
35.876000,0.476000,0.475476
35.877000,0.476000,0.475789
35.878000,0.476000,0.477039
35.879000,0.476000,0.477039
35.880000,0.476000,0.475476
35.881000,0.476000,0.475476
35.882000,0.476000,0.476726
35.883000,0.476000,0.473913
35.884000,0.476000,0.477039
35.885000,0.476000,0.477351
35.886000,0.476000,0.475789
35.887000,0.476000,0.476726
35.888000,0.476000,0.476414
35.889000,0.476000,0.476101
35.890000,0.476000,0.477039
35.891000,0.476000,0.476101
35.892000,0.476000,0.474539
35.893000,0.476000,0.475163
35.894000,0.476000,0.475163
35.895000,0.476000,0.475789
35.896000,0.476000,0.476726
35.897000,0.476000,0.473913
35.898000,0.476000,0.479539
35.899000,0.476000,0.475789
35.900000,0.476000,0.475476
35.901000,0.476000,0.476414
35.902000,0.476000,0.477664
35.903000,0.476000,0.477039
35.904000,0.476000,0.476726
35.905000,0.476000,0.476414
35.906000,0.476000,0.477664
35.907000,0.476000,0.477039
35.908000,0.476000,0.474851
35.909000,0.476000,0.479539
35.910000,0.476000,0.475163
35.911000,0.476000,0.475476
35.912000,0.476000,0.476414
35.913000,0.476000,0.475789
35.914000,0.476000,0.474851
35.915000,0.476000,0.475163
35.916000,0.476000,0.474851
35.917000,0.476000,0.474851
